Time differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (time diff)
((1, 28), (2, 48), (11))
((1, 28), (2, 49), (7))
((1, 28), (2, 50), (9))
((1, 28), (2, 52), (2))
((1, 28), (2, 53), (4))
((1, 28), (2, 6), (137))
((1, 28), (2, 8), (138))
((1, 29), (2, 1), (146))
((1, 29), (2, 11), (130))
((1, 29), (2, 19), (98))
((1, 29), (2, 2), (145))
((1, 29), (2, 20), (99))
((1, 29), (2, 24), (87))
((1, 29), (2, 26), (85))
((1, 29), (2, 28), (67))
((1, 29), (2, 30), (62))
((1, 29), (2, 31), (58))
((1, 29), (2, 32), (57))
((1, 29), (2, 33), (55))
((1, 29), (2, 39), (28))
((1, 29), (2, 44), (24))
((1, 29), (2, 45), (25))
((1, 29), (2, 48), (15))
((1, 29), (2, 49), (11))
((1, 29), (2, 50), (13))
((1, 29), (2, 52), (6))
((1, 29), (2, 53), (8))
((1, 29), (2, 6), (141))
((1, 29), (2, 8), (142))
((1, 3), (2, 1), (28))
((1, 3), (2, 11), (12))
((1, 3), (2, 19), (20))
((1, 3), (2, 2), (27))
((1, 3), (2, 20), (19))
((1, 3), (2, 24), (31))
((1, 3), (2, 26), (33))
((1, 3), (2, 28), (51))
((1, 3), (2, 30), (56))
((1, 3), (2, 31), (60))
((1, 3), (2, 32), (61))
((1, 3), (2, 33), (63))
((1, 3), (2, 39), (90))
((1, 3), (2, 44), (94))
((1, 3), (2, 45), (93))
((1, 3), (2, 48), (103))
((1, 3), (2, 49), (107))
((1, 3), (2, 50), (105))
((1, 3), (2, 52), (112))
((1, 3), (2, 53), (110))
((1, 3), (2, 6), (23))
((1, 3), (2, 8), (24))
((1, 30), (2, 1), (173))
((1, 30), (2, 11), (157))
((1, 30), (2, 19), (125))
((1, 30), (2, 2), (172))
((1, 30), (2, 20), (126))
((1, 30), (2, 24), (114))
((1, 30), (2, 26), (112))
((1, 30), (2, 28), (94))
((1, 30), (2, 30), (89))
((1, 30), (2, 31), (85))
((1, 30), (2, 32), (84))
((1, 30), (2, 33), (82))
((1, 30), (2, 39), (55))
((1, 30), (2, 44), (51))
((1, 30), (2, 45), (52))
((1, 30), (2, 48), (42))
((1, 30), (2, 49), (38))
((1, 30), (2, 50), (40))
((1, 30), (2, 52), (33))
((1, 30), (2, 53), (35))
((1, 30), (2, 6), (168))
((1, 30), (2, 8), (169))
((1, 31), (2, 1), (149))
((1, 31), (2, 11), (133))
((1, 31), (2, 19), (101))
((1, 31), (2, 2), (148))
((1, 31), (2, 20), (102))
((1, 31), (2, 24), (90))
((1, 31), (2, 26), (88))
((1, 31), (2, 28), (70))
((1, 31), (2, 30), (65))
((1, 31), (2, 31), (61))
((1, 31), (2, 32), (60))
((1, 31), (2, 33), (58))
((1, 31), (2, 39), (31))
((1, 31), (2, 44), (27))
((1, 31), (2, 45), (28))
((1, 31), (2, 48), (18))
((1, 31), (2, 49), (14))
((1, 31), (2, 50), (16))
((1, 31), (2, 52), (9))
((1, 31), (2, 53), (11))
((1, 31), (2, 6), (144))
((1, 31), (2, 8), (145))
((1, 32), (2, 1), (154))
((1, 32), (2, 11), (138))
((1, 32), (2, 19), (106))
((1, 32), (2, 2), (153))
((1, 32), (2, 20), (107))
((1, 32), (2, 24), (95))
((1, 32), (2, 26), (93))
((1, 32), (2, 28), (75))
((1, 32), (2, 30), (70))
((1, 32), (2, 31), (66))
((1, 32), (2, 32), (65))
((1, 32), (2, 33), (63))
((1, 32), (2, 39), (36))
((1, 32), (2, 44), (32))
((1, 32), (2, 45), (33))
((1, 32), (2, 48), (23))
((1, 32), (2, 49), (19))
((1, 32), (2, 50), (21))
((1, 32), (2, 52), (14))
((1, 32), (2, 53), (16))
((1, 32), (2, 6), (149))
((1, 32), (2, 8), (150))
((1, 33), (2, 1), (151))
((1, 33), (2, 11), (135))
((1, 33), (2, 19), (103))
((1, 33), (2, 2), (150))
((1, 33), (2, 20), (104))
((1, 33), (2, 24), (92))
((1, 33), (2, 26), (90))
((1, 33), (2, 28), (72))
((1, 33), (2, 30), (67))
((1, 33), (2, 31), (63))
((1, 33), (2, 32), (62))
((1, 33), (2, 33), (60))
((1, 33), (2, 39), (33))
((1, 33), (2, 44), (29))
((1, 33), (2, 45), (30))
((1, 33), (2, 48), (20))
((1, 33), (2, 49), (16))
((1, 33), (2, 50), (18))
((1, 33), (2, 52), (11))
((1, 33), (2, 53), (13))
((1, 33), (2, 6), (146))
((1, 33), (2, 8), (147))
((1, 34), (2, 1), (175))
((1, 34), (2, 11), (159))
((1, 34), (2, 19), (127))
((1, 34), (2, 2), (174))
((1, 34), (2, 20), (128))
((1, 34), (2, 24), (116))
((1, 34), (2, 26), (114))
